"Indeksi";"GDO_GID";"VAYLAT";"RIV summa"
"0";"227907";"100";"10,8"
"5";"227907";"100";"10,8"
"10";"227907";"100";"10,8"
"15";"227907";"100";"10,8"
"20";"227907";"100";"10,8"
"25";"227907";"100";"14,8"
"30";"227907";"100";"10,8"
"35";"227907";"100";"10,8"
"40";"227907";"100";"14,8"
"45";"227907";"100";"14,8"
"50";"227907";"100";"14,8"
"55";"227907";"100";"18,8"
"60";"227907";"100";"18,8"
"65";"227907";"100";"18,8"
"70";"227907";"100";"22,8"
"75";"227907";"100";"22,8"
"80";"227907";"100";"22,8"
"85";"227907";"100";"22,8"
"90";"227907";"100";"22,8"
"95";"227907";"100";"22,8"
"100";"227907";"100";"22,8"
"105";"227907";"100";"22,8"
"110";"227907";"100";"22,8"
"115";"227907";"100";"22,8"
"120";"227907";"100";"22,8"
"125";"227907";"100";"22,8"
"130";"227907";"100";"22,8"
"135";"227907";"100";"22,8"
"140";"227907";"100";"18,8"
"145";"170941";"100";"28,8"
"150";"170941";"100";"28,8"
"155";"170941";"100";"28,8"
"160";"170941";"100";"28,8"
"165";"170941";"100";"32,8"
"170";"170941";"100";"32,8"
"175";"170941";"100";"32,8"
"180";"170941";"100";"32,8"
"185";"170941";"100";"32,8"
"190";"170930";"100";"38,8"
"195";"170930";"100";"38,8"
"200";"170930";"100";"38,8"
"205";"170930";"100";"34,8"
"210";"170930";"100";"34,8"
"215";"170930";"100";"34,8"
"220";"170930";"100";"34,8"
"225";"170930";"100";"34,8"
"230";"170930";"100";"34,8"
"235";"170930";"100";"38,8"
"240";"170930";"100";"38,8"
"245";"170930";"100";"38,8"
"250";"170930";"100";"38,8"
"255";"272766";"100";"26,8"
"260";"272766";"100";"26,8"
"265";"272766";"100";"26,8"
"270";"272766";"100";"26,8"
"275";"272766";"100";"26,8"
"280";"272766";"100";"26,8"
"285";"272766";"100";"26,8"
"290";"272766";"100";"26,8"
"295";"272766";"100";"26,8"
"300";"272766";"100";"26,8"
"305";"272766";"100";"26,8"
"310";"272766";"100";"26,8"
"315";"272766";"100";"26,8"
"320";"272766";"100";"26,8"
"325";"272766";"100";"26,8"
"330";"272766";"100";"26,8"
"335";"272766";"100";"26,8"
"340";"272766";"100";"26,8"
"345";"272766";"100";"30,8"
"350";"272766";"100";"30,8"
"355";"272766";"100";"30,8"
"360";"272766";"100";"34,8"
"365";"272766";"100";"34,8"
"370";"272766";"100";"38,8"
"375";"272766";"100";"38,8"
"380";"272766";"100";"38,8"
"385";"272766";"100";"26,8"
"390";"272766";"100";"26,8"
"395";"272766";"100";"26,8"
"400";"272766";"100";"26,8"
"405";"272766";"100";"26,8"
"410";"272766";"100";"26,8"
"415";"272766";"100";"26,8"
"420";"272766";"100";"26,8"
"425";"272766";"100";"26,8"
"430";"272766";"100";"26,8"
"435";"272766";"100";"26,8"
"440";"272766";"100";"26,8"
"445";"272766";"100";"26,8"
"450";"272766";"100";"26,8"
"455";"272766";"100";"26,8"
"460";"272766";"100";"26,8"
"465";"272766";"100";"26,8"
"470";"169891";"100";"14,8"
"475";"169891";"100";"14,8"
"480";"169891";"100";"14,8"
"485";"169891";"100";"14,8"
"490";"169891";"100";"14,8"
"495";"169891";"100";"14,8"
"500";"169891";"100";"14,8"
"505";"169891";"100";"14,8"
"510";"169891";"100";"14,8"
"515";"169891";"100";"18,8"
"520";"169891";"100";"18,8"
"525";"169891";"100";"18,8"
"530";"169891";"100";"18,8"
"535";"169891";"100";"18,8"
"540";"169891";"100";"18,8"
"545";"169891";"100";"18,8"
"550";"169891";"100";"18,8"
"555";"169891";"100";"18,8"
"560";"169891";"100";"18,8"
"565";"169891";"100";"18,8"
"570";"169891";"100";"18,8"
"575";"169891";"100";"18,8"
"580";"169891";"100";"18,8"
"585";"169891";"100";"18,8"
"590";"169891";"100";"18,8"
"595";"169891";"100";"18,8"
"600";"169891";"100";"18,8"
"605";"169891";"100";"18,8"
"610";"169891";"100";"18,8"
"615";"169891";"100";"18,8"
"620";"169891";"100";"18,8"
"625";"169891";"100";"14,8"
"630";"169891";"100";"14,8"
"635";"169891";"100";"14,8"
"640";"169891";"100";"14,8"
"645";"169891";"100";"14,8"
"650";"169891";"100";"14,8"
"655";"169891";"100";"14,8"
"660";"169891";"100";"14,8"
"665";"169891";"100";"14,8"
"670";"169891";"100";"14,8"
"675";"169891";"100";"14,8"
"680";"169891";"100";"14,8"
"685";"169891";"100";"14,8"
"690";"169891";"100";"14,8"
"695";"169891";"100";"14,8"
"700";"169891";"100";"14,8"
"705";"169891";"100";"14,8"
"710";"169891";"100";"14,8"
"715";"169891";"100";"14,8"
"720";"169891";"100";"14,8"
"725";"169891";"100";"14,8"
"730";"169891";"100";"14,8"
"735";"169891";"100";"14,8"
"740";"169891";"100";"14,8"
"745";"169891";"100";"14,8"
"750";"169891";"100";"14,8"
"755";"169891";"100";"14,8"
"760";"169891";"100";"14,8"
"765";"169891";"100";"14,8"
"770";"169891";"100";"14,8"
"775";"169891";"100";"14,8"
"780";"169891";"100";"14,8"
"785";"169891";"100";"14,8"
"790";"169891";"100";"14,8"
"795";"169891";"100";"14,8"
"800";"169891";"100";"14,8"
"805";"169891";"100";"14,8"
"810";"169891";"100";"14,8"
"815";"169891";"100";"14,8"
"820";"169891";"100";"14,8"
"825";"169891";"100";"14,8"
"830";"169891";"100";"14,8"
"835";"169891";"100";"14,8"
"840";"169891";"100";"14,8"
"845";"169891";"100";"14,8"
"850";"169891";"100";"14,8"
"855";"169891";"100";"14,8"
"860";"169891";"100";"14,8"
"865";"169891";"100";"14,8"
"870";"169891";"100";"14,8"
"875";"169891";"100";"14,8"
"880";"169891";"100";"14,8"
"885";"169891";"100";"14,8"
"890";"169891";"100";"14,8"
"895";"169891";"100";"14,8"
"900";"169891";"100";"14,8"
"905";"169891";"100";"14,8"
"910";"169891";"100";"14,8"
"915";"169891";"100";"14,8"
"920";"169891";"100";"14,8"
"925";"169891";"100";"14,8"
"930";"169891";"100";"14,8"
"935";"169891";"100";"14,8"
"940";"169891";"100";"14,8"
"945";"169891";"100";"14,8"
"950";"169891";"100";"14,8"
"955";"169891";"100";"14,8"
"960";"169891";"100";"14,8"
"965";"169891";"100";"14,8"
"970";"169891";"100";"14,8"
"975";"169891";"100";"14,8"
"980";"169891";"100";"14,8"
"985";"169891";"100";"14,8"
"990";"169891";"100";"14,8"
"995";"169891";"100";"14,8"
"1000";"169891";"100";"14,8"
"1005";"169891";"100";"14,8"
"1010";"169891";"100";"14,8"
"1015";"169891";"100";"14,8"
"1020";"169891";"100";"14,8"
"1025";"169891";"100";"14,8"
"1030";"169891";"100";"14,8"
"1035";"169891";"100";"14,8"
"1040";"169891";"100";"14,8"
"1045";"169891";"100";"14,8"
"1050";"169891";"100";"14,8"
"1055";"169891";"100";"14,8"
"1060";"169891";"100";"14,8"
"1065";"169891";"100";"14,8"
"1070";"169891";"100";"14,8"
"1075";"169891";"100";"14,8"
"1080";"169891";"100";"14,8"
"1085";"169891";"100";"14,8"
"1090";"169891";"100";"14,8"
"1095";"169891";"100";"14,8"
"1100";"169891";"100";"14,8"
"1105";"169891";"100";"14,8"
"1110";"169891";"100";"14,8"
"1115";"169891";"100";"14,8"
"1120";"169891";"100";"14,8"
"1125";"169891";"100";"14,8"
"1130";"169891";"100";"14,8"
"1135";"169891";"100";"14,8"
"1140";"169891";"100";"14,8"
"1145";"169891";"100";"14,8"
"1150";"169891";"100";"14,8"
"1155";"169891";"100";"14,8"
"1160";"169891";"100";"14,8"
"1165";"169891";"100";"14,8"
"1170";"169891";"100";"14,8"
"1175";"169891";"100";"14,8"
"1180";"169891";"100";"14,8"
"1185";"169891";"100";"14,8"
"1190";"169891";"100";"14,8"
"1195";"169891";"100";"14,8"
"1200";"169891";"100";"14,8"
"1205";"169891";"100";"14,8"
"1210";"169891";"100";"14,8"
"1215";"169891";"100";"14,8"
"1220";"169891";"100";"14,8"
"1225";"169945";"100";"26,8"
"1230";"169945";"100";"26,8"
"1235";"169945";"100";"26,8"
"1240";"169945";"100";"26,8"
"1245";"169945";"100";"26,8"
"1250";"169945";"100";"26,8"
"1255";"169945";"100";"26,8"
"1260";"169945";"100";"26,8"
"1265";"169945";"100";"26,8"
"1270";"169945";"100";"26,8"
"1275";"169945";"100";"26,8"
"1280";"169945";"100";"26,8"
"1285";"169945";"100";"26,8"
"1290";"169945";"100";"26,8"
"1295";"169945";"100";"26,8"
"1300";"169945";"100";"26,8"
"1305";"169945";"100";"26,8"
"1310";"169945";"100";"30,8"
"1315";"169945";"100";"30,8"
"1320";"169945";"100";"30,8"
"1325";"169945";"100";"30,8"
"1330";"169945";"100";"30,8"
"1335";"169945";"100";"30,8"
"1340";"169945";"100";"30,8"
"1345";"169945";"100";"30,8"
"1350";"169945";"100";"30,8"
"1355";"169945";"100";"30,8"
"1360";"169945";"100";"30,8"
"1365";"169945";"100";"30,8"
"1370";"169945";"100";"30,8"
"1375";"170935";"100";"26,8"
"1380";"170935";"100";"26,8"
"1385";"170935";"100";"26,8"
"1390";"170935";"100";"26,8"
"1395";"170935";"100";"26,8"
"1400";"170935";"100";"26,8"
"1405";"170935";"100";"26,8"
"1410";"170935";"100";"26,8"
"1415";"170935";"100";"22,8"
"1420";"170935";"100";"22,8"
"1425";"170935";"100";"22,8"
"1430";"170935";"100";"22,8"
"1435";"170935";"100";"22,8"
"1440";"170935";"100";"22,8"
"1445";"169907";"100";"18,8"
"1450";"169907";"100";"18,8"
"1455";"169907";"100";"18,8"
"1460";"169907";"100";"18,8"
"1465";"169907";"100";"18,8"
"1470";"169907";"100";"18,8"
"1475";"169907";"100";"18,8"
"1480";"169907";"100";"18,8"
"1485";"169907";"100";"18,8"
"1490";"169907";"100";"18,8"
"1495";"169907";"100";"18,8"
"1500";"169907";"100";"18,8"
"1505";"169907";"100";"18,8"
"1510";"169907";"100";"22,8"
"1515";"169907";"100";"22,8"
"1520";"169907";"100";"22,8"
"1525";"169907";"100";"22,8"
"1530";"169907";"100";"22,8"
"1535";"169907";"100";"22,8"
"1540";"169907";"100";"22,8"
"1545";"169907";"100";"22,8"
"1550";"169907";"100";"22,8"
"1555";"169907";"100";"22,8"
"1560";"169907";"100";"22,8"
"1565";"169907";"100";"22,8"
"1570";"169907";"100";"22,8"
"1575";"169907";"100";"22,8"
"1580";"169907";"100";"22,8"
"1585";"169907";"100";"22,8"
"1590";"169907";"100";"22,8"
"1595";"169907";"100";"22,8"
"1600";"169907";"100";"22,8"
"1605";"169907";"100";"22,8"
"1610";"169907";"100";"22,8"
"1615";"169907";"100";"22,8"
"1620";"169907";"100";"22,8"
"1625";"169907";"100";"22,8"
"1630";"169907";"100";"22,8"
"1635";"169907";"100";"22,8"
"1640";"169907";"100";"22,8"
"1645";"169907";"100";"22,8"
"1650";"169907";"100";"22,8"
"1655";"169907";"100";"22,8"
"1660";"169907";"100";"22,8"
"1665";"169907";"100";"22,8"
"1670";"169907";"100";"22,8"
"1675";"169907";"100";"22,8"
"1680";"272779";"100";"30,8"
"1685";"272779";"100";"30,8"
"1690";"272779";"100";"30,8"
"1695";"272779";"100";"26,8"
"1700";"272779";"100";"26,8"
"1705";"272779";"100";"26,8"
"1710";"272779";"100";"26,8"
"1715";"272779";"100";"26,8"
"1720";"272779";"100";"26,8"
"1725";"272779";"100";"26,8"
"1730";"272779";"100";"26,8"
"1735";"272779";"100";"26,8"
"1740";"272779";"100";"26,8"
"1745";"272779";"100";"26,8"
"1750";"272779";"100";"26,8"
"1755";"272779";"100";"26,8"
"1760";"272779";"100";"26,8"
"1765";"272779";"100";"26,8"
"1770";"272779";"100";"26,8"
